City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vanavara,60.34,102.28,47.01,82,36,0.98,RU,1595269231
Tasiilaq,65.61,-37.64,48.2,76,40,10.29,GL,1595269162
Presidencia Roque Sáenz Peña,-26.79,-60.44,89.55,33,100,13.02,AR,1595269231
Faranah,10.04,-10.74,77.2,92,97,5.12,GN,1595269231
Smithers,54.78,-127.17,59.0,77,90,3.36,CA,1595269231
Clearwater,27.97,-82.8,91.36,55,1,4.7,US,1595269232
Yar-Sale,66.83,70.83,60.82,53,100,7.25,RU,1595269232
Isangel,-19.55,169.27,67.71,60,7,6.17,VU,1595269232
Roald,62.58,6.13,52.68,81,40,14.99,NO,1595269232
Oistins,13.07,-59.53,86.0,70,40,19.46,BB,1595269232
Sioux Lookout,50.1,-91.92,68.0,52,75,3.36,CA,1595268943
Manzhouli,49.6,117.43,55.06,58,19,14.83,CN,1595269233
Broome,42.25,-75.83,82.26,44,20,10.29,US,1595269233
Coyhaique,-45.58,-72.07,35.6,93,90,4.7,CL,1595269233
Mitha Tiwana,32.25,72.11,83.89,57,33,16.28,PK,1595269233
Getazat,40.04,44.56,91.4,31,2,17.22,AM,1595269234
Moerai,-22.43,-151.33,70.23,75,85,23.26,PF,1595269234
Estelle,29.85,-90.11,88.23,70,75,11.41,US,1595269027
Bondo,3.81,23.69,70.32,83,81,0.43,CD,1595269234
Masterton,-40.96,175.66,50.56,85,69,6.24,NZ,1595269234
Redlands,34.06,-117.18,83.35,26,5,4.7,US,1595269083
Cascais,38.7,-9.42,92.43,29,20,14.99,PT,1595269234
Shimanovsk,52.0,127.7,58.33,97,25,6.82,RU,1595269235
Pesaro,43.9,12.89,81.77,54,0,1.99,IT,1595269235
Nanortalik,60.14,-45.24,51.06,64,43,4.5,GL,1595269158
Nantucket,41.28,-70.1,76.62,88,90,12.75,US,1595269202
Pontiac,42.64,-83.29,82.02,47,40,11.41,US,1595269022
Priiskovyy,51.93,116.63,50.86,84,80,8.55,RU,1595269235
Itoman,26.12,127.67,81.68,88,20,4.7,JP,1595269235
Hualmay,-11.1,-77.61,66.09,66,63,9.84,PE,1595269236
Xique-Xique,-10.82,-42.73,85.87,38,39,6.51,BR,1595269236
Qaqortoq,60.72,-46.03,68.0,40,40,11.41,GL,1595269236
Ola,59.58,151.28,53.04,81,0,3.29,RU,1595269236
Margate,51.38,1.39,66.78,60,47,3.0,GB,1595269237
Los Llanos de Aridane,28.66,-17.92,72.66,69,20,18.34,ES,1595269237
Boffa,10.17,-14.03,77.65,89,100,11.07,GN,1595269237
Arrondissement de Pau,43.42,-0.58,78.8,61,75,10.29,FR,1595269237
Salta,-24.79,-65.41,71.6,53,100,4.7,AR,1595269237
Quang Ngai,15.12,108.8,76.75,89,100,4.99,VN,1595269106
Tabou,4.42,-7.35,77.74,83,63,11.16,CI,1595269238
Warwick,41.7,-71.42,90.46,59,75,11.41,US,1595268824
Camabatela,-8.19,15.38,65.16,27,12,2.93,AO,1595269238
Rocha,-34.48,-54.33,75.06,72,100,8.34,UY,1595269238
Coari,-4.08,-63.14,92.97,40,83,4.12,BR,1595269215
Ashcroft,50.72,-121.29,74.98,44,75,4.7,CA,1595269238
Aklavik,68.22,-135.01,50.0,81,90,10.29,CA,1595269239
Marzuq,14.4,46.47,84.27,40,86,4.41,YE,1595269239
Dolinsk,47.35,142.8,60.8,93,90,4.27,RU,1595269241
Norman Wells,65.28,-126.83,57.2,87,75,2.24,CA,1595269241
Petropavlovsk-Kamchatskiy,53.05,158.65,51.8,100,75,4.47,RU,1595269186
Laas,46.62,10.7,73.4,35,40,3.36,IT,1595269216
Kirkwall,58.98,-2.96,54.79,76,20,1.12,GB,1595269242
Skellefteå,64.75,20.95,71.19,68,100,8.05,SE,1595269242
Goma,-1.68,29.22,71.6,60,75,6.93,CD,1595269037
Dawei,14.08,98.2,78.8,85,100,2.48,MM,1595269243
Ploemeur,47.73,-3.43,71.78,49,20,16.11,FR,1595269243
Altay,47.87,88.12,68.49,53,100,3.83,CN,1595269243
Três Passos,-27.46,-53.93,77.0,52,0,5.99,BR,1595269243
Launceston,-41.45,147.17,40.03,86,40,10.29,AU,1595269202
Dunedin,-45.87,170.5,48.45,78,100,4.59,NZ,1595269161
Gibara,21.11,-76.13,82.4,74,75,11.41,CU,1595269243
Jutaí,-5.18,-68.9,91.0,48,65,4.07,BR,1595269244
Rameswaram,9.28,79.3,83.59,80,100,17.9,IN,1595269244
Hyères,43.12,6.12,78.48,78,20,13.87,FR,1595269244
Agadez,19.75,10.25,99.45,10,41,7.92,NE,1595269244
Biscarrosse,44.39,-1.17,75.2,60,0,10.29,FR,1595269244
Teeli,51.03,90.23,63.7,66,88,2.62,RU,1595269245
Bairnsdale,-37.83,147.62,46.99,89,63,1.01,AU,1595268963
Evans,33.53,-82.13,95.56,41,40,5.82,US,1595269245
Yarkovo,57.4,67.08,58.5,72,57,8.28,RU,1595269245
Anadyr,64.75,177.48,48.09,76,0,4.47,RU,1595269245
Farafangana,-22.82,47.83,66.83,64,82,5.35,MG,1595269245
Raton,36.9,-104.44,82.09,44,1,5.82,US,1595269246
Wanaka,-44.7,169.15,40.64,83,98,3.71,NZ,1595269246
Nālūt,30.33,10.85,92.93,22,31,9.44,LY,1595269246
Bagdarin,54.43,113.6,47.16,73,98,9.35,RU,1595269173
Kushiro,42.98,144.37,60.87,92,61,2.93,JP,1595269246
Eureka,40.8,-124.16,59.02,95,66,1.99,US,1595269246
Camaná,-16.62,-72.71,63.59,67,100,8.77,PE,1595269247
Imbituba,-28.24,-48.67,80.6,51,0,10.29,BR,1595269247
Hasaki,35.73,140.83,68.31,100,75,5.82,JP,1595269158
Bonham,33.58,-96.18,92.52,55,75,5.82,US,1595269115
Bela,25.93,81.98,84.04,72,98,6.24,IN,1595269247
Macas,-2.32,-78.12,68.0,82,90,4.7,EC,1595269247
Moindou,-21.69,165.68,60.8,93,75,3.36,NC,1595269247
Yulara,-25.24,130.99,46.4,93,75,5.82,AU,1595269248
Port Moresby,-9.44,147.18,75.2,94,40,11.41,PG,1595269162
Kalāleh,37.38,55.49,87.8,52,0,0.13,IR,1595269248
Nome,64.5,-165.41,48.7,100,90,5.82,US,1595269248
Souillac,-20.52,57.52,69.8,60,75,10.29,MU,1595269175
Concepción del Oro,24.63,-101.42,70.83,40,96,3.96,MX,1595269248
Naples,40.83,14.25,77.85,54,0,11.41,IT,1595269047
Ialibu,-6.28,143.99,51.22,95,47,2.71,PG,1595269249
Ambilobe,-13.2,49.05,67.48,71,58,4.03,MG,1595269249
Houlton,46.13,-67.84,86.72,43,20,16.11,US,1595269249
Canberra,-35.28,149.13,31.37,92,0,4.7,AU,1595269200
Vallenar,-28.57,-70.76,70.14,33,81,5.48,CL,1595269249
Leh,34.17,77.58,57.88,45,29,3.58,IN,1595269019
Ngunguru,-35.62,174.5,52.0,3,18,5.46,NZ,1595269249
Sirte,31.21,16.59,78.26,71,0,12.59,LY,1595269249
Dzerzhinsk,56.24,43.46,61.27,100,90,4.47,RU,1595269211
Morro Bay,35.37,-120.85,71.96,65,7,3.0,US,1595269250
Lakes Entrance,-37.88,147.98,46.99,90,56,1.01,AU,1595269250
Bāneh,36.0,45.89,72.3,21,3,1.99,IR,1595269250
Fuzhou,26.06,119.31,82.4,78,100,4.47,CN,1595269109
Talaya,61.38,152.75,51.44,69,0,5.19,RU,1595269250
Changji,44.02,87.32,78.8,41,100,6.71,CN,1595269251
Suntar,62.14,117.63,61.05,97,100,4.54,RU,1595269251
Karatau,43.17,70.47,77.95,35,47,4.63,KZ,1595269251
Yaan,7.38,8.57,74.98,93,43,5.48,NG,1595269251
Turukhansk,65.82,87.98,51.42,84,11,9.15,RU,1595269251
Avera,33.19,-82.53,94.41,41,1,5.82,US,1595269019
Belmonte,-15.86,-38.88,78.8,65,20,9.17,BR,1595269251
Cuamba,-14.8,36.54,63.9,62,6,4.65,MZ,1595269251
Santa Lucía,27.91,-15.54,77.52,61,20,36.91,ES,1595269252
Buritis,-15.62,-46.42,81.97,37,24,10.38,BR,1595269179
Ponta Delgada,37.73,-25.67,75.2,57,75,9.17,PT,1595269023
Maceió,-9.67,-35.74,82.4,58,40,14.99,BR,1595269111
Kondagaon,19.6,81.67,75.02,91,100,4.68,IN,1595269253
Gallup,35.53,-108.74,85.64,18,1,3.36,US,1595269021
Grand Gaube,-20.01,57.66,69.01,66,51,10.0,MU,1595269204
Zalesovo,53.99,84.74,64.8,91,48,2.44,RU,1595269253
Andenes,69.31,16.12,55.4,82,75,3.36,NO,1595269253
Brae,60.4,-1.35,53.6,81,59,6.93,GB,1595269253
Mollendo,-17.02,-72.01,62.76,66,100,8.9,PE,1595269253
Bonavista,48.65,-53.11,67.08,67,99,11.99,CA,1595269254
Ulety,51.36,112.48,45.03,73,9,4.85,RU,1595269254
Atasū,48.68,71.64,74.75,39,32,12.86,KZ,1595269254
Tegul'det,57.31,88.17,60.08,95,18,3.11,RU,1595269254
Ormara,25.21,64.64,85.53,82,71,20.98,PK,1595269254
Teya,60.38,92.63,54.57,87,100,5.32,RU,1595269224
Innisfail,-17.53,146.03,67.51,92,99,5.41,AU,1595269255
Yumen,40.28,97.2,77.58,21,100,16.71,CN,1595269255
Vicuña,-30.03,-70.71,62.6,67,58,11.41,CL,1595269255
Fairbanks,64.84,-147.72,64.15,68,1,4.7,US,1595269015
Khalkhāl,37.62,48.53,73.17,45,17,7.52,IR,1595269255
Pahrump,36.21,-115.98,87.48,12,1,9.17,US,1595269255
Grand-Santi,4.25,-54.38,82.47,81,41,3.98,GF,1595269256
Aswān,24.09,32.91,98.92,13,0,11.01,EG,1595269198
Krasnokamensk,50.1,118.04,51.75,67,58,10.47,RU,1595269256
Marathon,44.9,-89.77,70.83,49,1,6.93,US,1595269256
Vinukonda,16.05,79.75,84.07,76,98,8.52,IN,1595269256
Aksay,47.26,39.87,78.19,53,20,4.47,RU,1595269256
Shilovo,54.32,40.87,62.2,87,73,6.04,RU,1595269257
Mamlyutka,54.94,68.54,65.39,79,79,15.48,KZ,1595269257
Nyrob,60.73,56.72,59.68,65,0,7.27,RU,1595269243
Pyaozerskiy,65.83,31.17,67.23,80,80,4.92,RU,1595269257
Puerto Madero,14.72,-92.42,86.0,79,75,8.05,MX,1595269257
Arman',59.7,150.17,53.6,76,0,3.87,RU,1595269218
Puerto Colombia,10.99,-74.95,91.4,59,40,3.36,CO,1595269257
Muros,42.78,-9.06,73.0,66,0,18.01,ES,1595269257
Ferrol,43.48,-8.24,65.34,72,20,13.87,ES,1595269258
Tucuruí,-3.77,-49.67,89.78,43,60,4.59,BR,1595269258
San Jerónimo,-11.95,-75.28,63.79,26,18,2.24,PE,1595269258
Togur,58.36,82.83,57.13,96,11,9.15,RU,1595269258
Nerchinskiy Zavod,51.31,119.61,52.09,92,89,10.67,RU,1595269014
Tagusao,9.19,117.81,80.29,76,20,6.44,PH,1595269258
Vaitape,-16.52,-151.75,78.21,82,50,24.49,PF,1595269258
Shingū,33.73,135.98,75.69,82,99,3.27,JP,1595269258
Sur,22.57,59.53,87.98,65,73,17.58,OM,1595269259
Toila,59.42,27.5,66.36,75,96,1.21,EE,1595269259
Rangāpāra,26.82,92.65,75.76,95,100,6.35,IN,1595269259
Jaisalmer,26.91,70.92,90.93,57,14,29.62,IN,1595269259
Hódmezővásárhely,46.42,20.33,73.47,84,58,0.65,HU,1595269259
Vangaindrano,-23.35,47.6,65.73,65,85,2.3,MG,1595269259
Kvarkeno,52.08,59.73,68.65,69,8,9.46,RU,1595269259
Bonthe,7.53,-12.51,77.68,86,100,15.01,SL,1595269260
Chanika,-5.42,38.02,62.01,95,46,3.74,TZ,1595269260
Marion,39.77,-86.16,83.71,54,1,4.7,US,1595269236
San Policarpo,12.18,125.51,82.06,80,83,3.49,PH,1595269260
Waharoa,-37.77,175.77,57.67,92,82,4.23,NZ,1595269260
Erzurum Province,40.0,41.5,71.6,35,0,4.7,TR,1595269051
Sorata,-15.77,-68.63,59.95,34,57,8.95,BO,1595269260
Gobabis,-22.45,18.97,59.0,22,0,2.24,NA,1595269261
Viedma,-40.81,-63.0,51.01,83,100,3.0,AR,1595269248
Lanxi,29.22,119.48,77.74,90,100,1.28,CN,1595269261
Cotacachi,0.3,-78.27,73.4,31,40,8.05,EC,1595269261
Tiznit Province,29.58,-9.5,80.73,46,0,7.94,MA,1595269261
Bacalar,18.67,-88.38,87.8,62,40,3.11,MX,1595269261
Shitkino,56.37,98.35,56.44,60,87,6.96,RU,1595269262
Dillingen,49.35,6.73,75.43,50,28,9.17,DE,1595269262
Lumphat,13.49,106.98,73.89,96,100,1.83,KH,1595269262
Diamantino,-14.41,-56.45,92.16,25,0,7.45,BR,1595269262
Dawlatabad,36.41,64.91,85.21,16,16,5.84,AF,1595269262
Shyryayeve,47.38,30.2,66.06,83,99,11.77,UA,1595269029
Mogilno,52.66,17.96,68.0,73,100,5.35,PL,1595269262
Ochakiv,46.61,31.55,71.33,73,20,11.18,UA,1595269262
Rāzole,16.48,81.83,82.94,83,100,7.49,IN,1595269263
Rawa Mazowiecka,51.76,20.25,64.0,99,87,5.59,PL,1595269263
Saldanha,-33.01,17.94,55.4,76,0,3.36,ZA,1595269263
Shahrud,36.42,54.98,79.36,26,0,11.63,IR,1595269263
Claveria,18.61,121.08,80.22,78,90,5.06,PH,1595269263
